1	509	64
2	433	157
3	419	166
4	470	268
5	508	352
6	520	416
7	547	598
8	580	722
9	625	747
10	673	789
11	677	977
12	713	1035
13	752	1231
14	764	1316
15	806	1408
16	832	1673
17	850	1938
18	870	1624
19	817	1681
20	886	1813
21	857	1833
22	954	2022
23	1035	2185
24	992	2431
25	1004	2336
26	1131	3451
27	1036	2592
28	1064	2960
29	1231	3041
30	1095	3133
31	1166	3402
32	1216	3483
33	1174	3447
34	1123	3770
35	1304	4003
36	1330	4105
37	1293	3482
38	983	2616
39	960	2617
40	999	2775
41	989	2820
42	1080	3047
43	1081	3025
44	1056	3118
45	1115	3219
46	1101	3314
47	1160	3390
48	1151	3576
49	1269	3830
50	1288	3923
51	1290	4435
52	1732	4770
53	1315	4199
54	1273	4251
55	1257	4292
56	1276	4466
57	1350	4659
58	1314	4770
59	1343	4791
60	1364	5031
61	1462	5164
62	1489	5282
63	1532	5276
64	1539	5465
65	1536	5894
66	2287	8260
67	1577	6813
68	2208	9482
69	2116	9198
70	2331	7170
71	1586	6201
72	1606	6421
73	1645	6272
74	1692	6290
75	1548	6031
76	1734	6237
77	1639	6118
78	1793	6375
79	1669	6152
80	1830	6501
81	1724	6553
82	1801	6830
83	1809	6714
84	1779	6802
85	1825	6992
86	1861	7077
87	1859	7057
88	1916	7241
89	1898	7268
90	1860	7416
91	1887	7366
92	2029	7647
93	2034	7840
94	2088	7960
95	2020	7867
96	2115	8116
97	2118	8269
98	2084	8398
99	2067	8588
100	2045	8654
101	2206	8850
102	2144	8869
103	2275	8992
104	2293	9192
105	2230	9221
106	2325	9501
107	2344	9515
108	2301	9793
109	2369	9973
110	2222	9927
111	3086	11895
112	2377	10212
113	2313	10280
114	2515	10639
115	2341	10535
116	2424	10753
117	2527	10939
118	2375	10877
119	2533	11037
120	2478	11189
121	2601	11393
122	2445	11388
123	2546	11557
124	2551	11647
125	2477	11753
126	2668	11999
127	2735	12109
128	2623	12197
129	2598	12281
130	2627	12584
131	2784	12683
132	2607	12735
133	2663	12883
134	2776	13066
